Date,AAPL,TSLA,DIS,T,COST,SIRI,WDC,UVXY,MRNA,OHI,SPY,GOOGL,KR,APHA,JPM,TSM,BOTZ,SAVE,SPOT,VWO,GRMN,MSFT,SONO,SPCE,MGNI
2000-06-26,185354400.0,,3821900.0,4338500.0,6453500.0,447400.0,855400.0,,,28300.0,5201300.0,,5882600.0,,3195000.0,3649000.0,,,,,,48287000.0,,,
2000-06-27,203470400.0,,3376700.0,8427500.0,4771400.0,362300.0,1024000.0,,,112600.0,4159500.0,,4864200.0,,5146100.0,3035500.0,,,,,,31071200.0,,,
2000-06-28,286428800.0,,3165300.0,6938100.0,6008900.0,465200.0,472200.0,,,65500.0,5347700.0,,3819400.0,,4898400.0,2108000.0,,,,,,37459200.0,,,
2000-06-29,203660800.0,,4801700.0,7219500.0,6545300.0,618400.0,500400.0,,,81400.0,6345700.0,,5049800.0,,4679500.0,1781600.0,,,,,,38449000.0,,,
2000-06-30,323097600.0,,6610500.0,15147400.0,6764800.0,908900.0,906800.0,,,403500.0,7420200.0,,12051400.0,,6995300.0,2279100.0,,,,,,52356400.0,,,
2000-07-03,70828800.0,,2323500.0,3245900.0,2559000.0,834200.0,219700.0,,,57600.0,1436600.0,,1960000.0,,2746100.0,933600.0,,,,,,15734800.0,,,
2000-07-05,265216000.0,,4211300.0,5174300.0,3182200.0,633800.0,606800.0,,,164400.0,2748200.0,,5118200.0,,5083900.0,3299800.0,,,,,,34824400.0,,,
2000-07-06,309545600.0,,3873000.0,4184500.0,4599900.0,277100.0,492000.0,,,49800.0,5963200.0,,7509000.0,,3497600.0,2220300.0,,,,,,47873200.0,,,
2000-07-07,263603200.0,,9323900.0,4375100.0,6814100.0,266400.0,691100.0,,,70100.0,3034800.0,,5537400.0,,6245000.0,2329600.0,,,,,,54153200.0,,,
2000-07-10,397796000.0,,4125100.0,3349100.0,9257200.0,188800.0,423900.0,,,112800.0,2816100.0,,5865200.0,,3393600.0,4182900.0,,,,,,52689800.0,,,
2000-07-11,357896000.0,,3834900.0,3976800.0,8824400.0,166800.0,2006900.0,,,117100.0,5431600.0,,6613600.0,,4641900.0,2486300.0,,,,,,37164800.0,,,
2000-07-12,225433600.0,,4153200.0,2566800.0,4114200.0,153700.0,3238900.0,,,181600.0,5883000.0,,4740400.0,,4531400.0,2177100.0,,,,,,58370200.0,,,
2000-07-13,445659200.0,,5091200.0,4010900.0,4144100.0,576900.0,1831600.0,,,54300.0,5356000.0,,4775400.0,,4588500.0,2022700.0,,,,,,80843200.0,,,
2000-07-14,190276800.0,,4110400.0,4196600.0,2317000.0,380600.0,1334600.0,,,89500.0,5341900.0,,4228000.0,,4532300.0,2328000.0,,,,,,51180600.0,,,
2000-07-17,260002400.0,,4453900.0,5377200.0,2640300.0,332900.0,1867700.0,,,92300.0,4208300.0,,4180200.0,,5069900.0,2624900.0,,,,,,53992800.0,,,
2000-07-18,318404800.0,,4697400.0,5651100.0,5846200.0,258200.0,785600.0,,,105500.0,4262100.0,,4364000.0,,3273200.0,2164800.0,,,,,,70617200.0,,,
2000-07-19,457872800.0,,5997600.0,4164100.0,5116900.0,374500.0,484300.0,,,143800.0,8506800.0,,3659000.0,,4287100.0,4139100.0,,,,,,139924600.0,,,
2000-07-20,465572800.0,,5472800.0,5914000.0,8632300.0,262700.0,3141400.0,,,135100.0,4538900.0,,3204600.0,,6117400.0,3076600.0,,,,,,54690600.0,,,
2000-07-21,196235200.0,,3783300.0,4278400.0,4244100.0,106100.0,1427700.0,,,121900.0,5656900.0,,3193400.0,,5470100.0,2811700.0,,,,,,56100600.0,,,
2000-07-24,412171200.0,,2980600.0,4297900.0,5255000.0,351700.0,1102100.0,,,82800.0,5628500.0,,3107600.0,,3232600.0,4603800.0,,,,,,56165600.0,,,
2000-07-25,211607200.0,,3741400.0,4182100.0,5155000.0,173100.0,1483800.0,,,62500.0,4757100.0,,3274200.0,,2697100.0,3484800.0,,,,,,64188600.0,,,
2000-07-26,210470400.0,,4708900.0,5807100.0,9050400.0,323200.0,2655800.0,,,111600.0,12062500.0,,4000200.0,,4654000.0,2572900.0,,,,,,85404600.0,,,
2000-07-27,294985600.0,,2734000.0,4954700.0,5947200.0,291100.0,1323200.0,,,97800.0,7652600.0,,5437200.0,,3556100.0,6441900.0,,,,,,74337600.0,,,
2000-07-28,237893600.0,,2513200.0,4718600.0,4176200.0,240700.0,3199200.0,,,173400.0,6229500.0,,4784000.0,,2880800.0,5364100.0,,,,,,75645600.0,,,
2000-07-31,155299200.0,,4192200.0,4205200.0,4271700.0,572700.0,1122500.0,,,105500.0,5265500.0,,5660800.0,,3650700.0,4064200.0,,,,,,70283800.0,,,
2000-08-01,137284000.0,,8352300.0,4417200.0,4409600.0,540900.0,1016200.0,,,143400.0,3946600.0,,6582400.0,,10556800.0,2854400.0,,,,,,47163600.0,,,
2000-08-02,162355200.0,,4612000.0,5915000.0,6514000.0,271800.0,907700.0,,,114800.0,7439800.0,,4308000.0,,6692900.0,2072900.0,,,,,,48269200.0,,,
2000-08-03,339897600.0,,4451600.0,5796500.0,8989000.0,320200.0,1512100.0,,,28000.0,4607100.0,,5362200.0,,5914200.0,3187400.0,,,,,,54543400.0,,,
